term,T1,T2,T3
1,0.3322056074095097,0.00022906273043699231,0.0006748277428877184
2,0.3326157384415998,0.0001805887708270987,0.0006531377155028798
3,0.33203398972054604,8.95446406638261e-5,0.00027775452405458
4,0.00021623880412921154,0.33424389685396294,0.0004434497500537792
5,0.0009710194868773901,0.3316967100041588,0.00048285890206834013
6,0.0006439509713908083,0.3325446514901714,0.00024559407464303467
7,0.0006517107759306196,0.0003468797431891643,0.3320240656540796
8,0.00034981537692344657,0.00028547796386943123,0.3329423495025732
9,0.00031192901309314133,0.0003831878027204298,0.33225596213413694
