term,T1,T2,T3
1,0.00037350360696680816,0.33337936332321544,0.0002481095953473909
2,0.0009320492272477445,0.33075768996790283,0.0009528451849292531
3,0.00044151052102211585,0.33179562124864653,0.00044529325912944027
4,0.33197530315974483,0.0004444289215432506,0.000708380436471843
5,0.33125129307624707,0.0006004626888463306,0.002020064802811216
6,0.3330272957575707,0.0005777839922362995,0.0008218112151683911
7,0.00041302390190746196,0.00047376462171718457,0.3325082551232943
8,0.001087079456737448,0.0005190719810924336,0.3307949328109594
9,0.0004989412925557565,0.0014518132547996722,0.33150030757188886
