,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k20,1.162025075,1.181952,1.19612365,1.188521875,1.214409,1.240455375
k50,1.111343805,1.1287921,1.140693658,1.141725858,1.1572034,1.172320855
k30,1.143247255,1.1585585,1.172781772,1.179842415,1.19326595,1.211610008
k10,1.171677055,1.19970285,1.216632665,1.22727566,1.24935205,1.263359702
k05,1.177121863,1.2154754,1.22931981,1.276689145,1.28890925,1.30325692
