term,T1,T2,T3
1,0.0009126127233883536,0.0011035420095116218,0.3316440203934417
2,0.000294873082221004,0.0008514676071951229,0.3314603489083321
3,0.0002985907122436604,0.0011238706128179658,0.3322815288412661
4,0.0005374327459392647,0.3308241636972534,0.0004265117601961527
5,0.0016960481748349774,0.3307959168355287,0.0007162169993936973
6,0.0006803475927737299,0.33333650484144417,0.00045256783822535086
7,0.3329440158685783,0.00019888171887964606,0.001755408469545917
8,0.33228741968153863,0.0007896309643863707,0.0005989866678784868
9,0.33034865941848235,0.0009760217129829367,0.0006644101217206686
