term,T1,T2,T3
1,0.0018161247779612528,0.0008909431005197479,0.3304449519539743
2,0.000296295703169126,0.0002648264072211613,0.3315185157960445
3,0.0012756505009337855,0.0011370326545733368,0.3307875722744082
4,0.0003579318806625471,0.3321946929047976,0.00013776547923438233
5,0.000914263216174227,0.33058425253800644,0.0025687613623392794
6,0.00042900384184404127,0.3339138238090418,0.001015565252388459
7,0.3327291952385237,0.0002297841981355339,0.0015743648169513267
8,0.33249698564173297,0.00039691041676316266,0.0004138012896968185
9,0.32968454919899837,0.00038773397094114153,0.0015387017749626647
