term,T1,T2,T3
1,0.3318814392031941,0.001061376148944219,7.083571347685195e-5
2,0.3321913897859613,0.00029001549825592515,0.0002690841536436884
3,0.33221101181601326,0.0005115753804650663,0.00013597148482199362
4,0.0005595416391959685,3.381884660916153e-5,0.33394154767715695
5,0.000753958869446124,0.00020770649855293154,0.3336820593640375
6,0.0007340454142966215,4.379030280144223e-5,0.33111474242841304
7,0.00011229223705610561,0.3330959614929208,0.0002645385459032881
8,0.000912453798811462,0.33215608275691605,0.00015646540270406817
9,0.0006438672360251271,0.3325996730745342,0.00036475522984255815
