run,BTR_noCVEM_K2,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K15,BTR_noCVEM_K20,BTR_noCVEM_K25,BTR_noCVEM_K30,BTR_noCVEM_K40,BTR_noCVEM_K50
1,-1.016614031581014,-1.0284894608646529,-1.0261399527565742,-1.0062894591884133,-0.9986923454107621,-1.015659318078197,-0.9817940107464491,-0.9604072110108187,-0.9405595886439906
2,-1.0164557130121337,-1.0242725275549538,-1.0190101169261565,-1.0051757100600636,-0.9767903438978451,-1.0075598587586239,-0.9990847015259938,-0.9717056336018437,-0.9537188142292212
3,-1.0172332490860816,-1.0388567151669719,-1.0240966646613132,-1.0067488612197384,-1.0141314906185364,-0.9748350825491221,-0.9703953162336112,-0.9459490822606131,-0.9642526572557109
4,-1.016510600619717,-1.0348682621562826,-0.9909431569834144,-1.042821468597812,-1.0240982923741093,-0.9782700516678632,-0.9810480949494456,-0.9497709096257689,-0.9334817710190678
5,-1.0166928391767773,-1.025543580201113,-1.022036058511337,-1.0373121283584195,-0.9948996281550198,-0.9884570853555301,-0.9671856088655284,-0.9629522849723247,-0.9294527717119458
6,-1.0166340958555105,-1.0280243201424424,-1.0137009638074002,-1.036144186026445,-0.9933335456445287,-0.9920777691367091,-0.9659246670233759,-0.9610914413034499,-0.9775393837221418
7,-1.0167601847690295,-1.0244002678917856,-1.0095697622046267,-0.997393521931706,-0.9813059655962888,-0.9760721218675386,-1.0010427692083814,-0.9552640709635729,-0.926473663860665
8,-1.017527090015402,-1.0239082138055542,-1.0289017217427756,-1.0571333870232351,-0.9973165929694467,-0.9916619739489307,-0.9780208639124013,-0.9354158153186978,-0.9321731019223287
9,-1.0167585352681452,-1.0538055468369225,-1.0058590706203616,-1.0210274277077387,-0.9976771993014419,-1.0007825371032943,-0.955828304657824,-0.953191099261846,-0.9498156725059792
10,-1.016933482965832,-1.0399979454672543,-1.0297062273829634,-0.9867114046193973,-0.9768924065645432,-0.9648211761170316,-0.9886165092838546,-0.9518301042976689,-0.971275277027517
11,-1.0170933703802896,-1.0252287723575177,-1.0315493849301345,-1.0035267726992383,-0.995892259207968,-1.0035499293516295,-0.9780930780523661,-0.9527353338126583,-0.9395148194419671
12,-1.0166785957271833,-1.0264644350231202,-1.0164706020292713,-1.0200077364390299,-1.072567600499751,-1.0142573398479893,-0.9631579611030852,-0.9956693619889863,-0.9787247749098935
13,-1.0166310346093101,-1.0302501998595472,-1.014580546860094,-1.0077901659668644,-1.0355307937835656,-0.9840657368726599,-0.9742849300527406,-0.9850686271931433,-0.9118771613075605
14,-1.0169840851704075,-1.0218789743677306,-1.0329936427512558,-1.0354996830994585,-1.0376752263721736,-1.0059499587899006,-0.9764576200621182,-0.9618503069208385,-0.9443300004231505
15,-1.016477016405158,-1.0561531271609659,-1.010327117736813,-1.0146916869972222,-0.9983274928206369,-0.9578473342757494,-0.9606290848480297,-0.9488236406269419,-0.9494150632346635
16,-1.0174918894271725,-1.0545218633252986,-1.0090876898059005,-1.0185352697012764,-0.9927363182412028,-0.9687125023495996,-0.9981314704500823,-0.9571044985955517,-0.9306369361565604
17,-1.016992631082139,-1.0533315756577513,-1.0285360771569154,-1.089188594620238,-0.9874531821563697,-1.0077296580103114,-1.00556771333072,-0.9751397605220937,-0.9667055710348981
18,-1.0164987347608405,-1.052444585191754,-1.0189764408995874,-0.9918694533747787,-1.0169557026401272,-0.980714330229828,-0.9709290487853134,-0.9446269070068971,-0.966041006212347
19,-1.0171269081287972,-1.027316920486129,-1.0609827947589574,-1.0039830140432007,-0.9844464373319581,-0.975664391501438,-0.9874790466763899,-0.9769147541394154,-0.9513640336255375
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
