NoText_reg,BTR_noCVEM_K2,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K15,BTR_noCVEM_K20,BTR_noCVEM_K25,BTR_noCVEM_K30,BTR_noCVEM_K40,BTR_noCVEM_K50,LDA_K2,LDA_K5,LDA_K10,LDA_K15,LDA_K20,LDA_K25,LDA_K30,LDA_K40,LDA_K50,sLDA_K2,sLDA_K5,sLDA_K10,sLDA_K15,sLDA_K20,sLDA_K25,sLDA_K30,sLDA_K40,sLDA_K50
0.01751952966438626,-1.0239558152020989,-1.0314989700523163,-1.0160382335342024,-1.0110852628001128,-0.9868887966773072,-0.9658189196163685,-0.968178713096242,-0.9965834929994861,-0.9478514135343291,-0.48516758174857816,-0.6476667577145563,-0.7529488609968421,-0.7152974011962867,-0.7266656438795607,-0.7485516130833567,-0.7358934214326384,-0.7774950011100207,-0.7279715859345577,-0.014665447385773245,-0.015747539631050918,-0.016379178854790663,-0.016110570550037638,-0.014791927499264359,-0.01859721199668825,-0.013204403459114935,-0.01703491971532664,-0.013797537975574883
0.02733961633258744,-1.0234437909097935,-1.0313895946544436,-1.0156587164494306,-1.0110091802248022,-0.9868718738062984,-0.965028435661134,-0.9671573731631269,-0.9964251706701988,-0.9477394367748352,-0.4820106072273834,-0.6281579862690949,-0.7526246344412489,-0.7103036752282498,-0.7249509385189492,-0.7479050497154429,-0.7349112004018297,-0.7482437230778913,-0.7172109398957673,-0.014615228485038633,-0.015618830080508031,-0.015473511429544562,-0.015016411637871086,-0.014736984743863936,-0.01714394951163878,-0.012789720874589528,-0.016846344129229057,-0.01350354406406483
0.02736793465057405,-1.0232447502542903,-1.0312402609728726,-1.0155568544629674,-1.0109323446056382,-0.9868290241844183,-0.964997467135754,-0.9669437420185695,-0.9962408566612675,-0.9476738855428856,-0.48064147172214633,-0.6277286955573776,-0.7499392076633794,-0.7089878902319846,-0.7220138706504426,-0.7401774128369638,-0.73359889888618,-0.7482283977346412,-0.7156785525436696,-0.014503782157301786,-0.015025561998117727,-0.014933758533863134,-0.01457639539598029,-0.014730385480980821,-0.01693729599927118,-0.012766989578523229,-0.01635179721564207,-0.013476506612217607
0.029812652909541375,-1.0232190827111536,-1.0312390647105307,-1.0151598889391642,-1.0109110529297183,-0.9865891723007861,-0.9647574040281737,-0.9667857932594365,-0.9959440756360978,-0.9474569890974901,-0.4766582445465556,-0.625206391481448,-0.7497199352103497,-0.7085823061458554,-0.7210709108972315,-0.7385069656460368,-0.7329290819091909,-0.7459574238629566,-0.7151088168411874,-0.014503662413093827,-0.014826984933892317,-0.014884426115167436,-0.01453689941907634,-0.014702523343579552,-0.016867152678953064,-0.01268380860380433,-0.016163266855790857,-0.013181357919643682
0.031708148618582864,-1.023085168963142,-1.0308778674359342,-1.0151551756515438,-1.0108222224400554,-0.9864318092603991,-0.964719341100902,-0.9667225369897927,-0.995848677297827,-0.9474406650949948,-0.47331355633102024,-0.6236036040186056,-0.7489389071694124,-0.707423893726779,-0.7203018171371137,-0.7378028756777903,-0.7317934789602938,-0.744514622559904,-0.7136974909951254,-0.014417297827102299,-0.01454883861282896,-0.014861628617310144,-0.014448661155669961,-0.014684937392501313,-0.016824620678868044,-0.012674813125355665,-0.016003098409692097,-0.01315198805195364
0.034155052718326855,-1.023074955965311,-1.0307963914777667,-1.0150550149140996,-1.0107963786481553,-0.986393265050878,-0.9647191165274956,-0.9666546968077933,-0.9958170753793307,-0.9471173946231882,-0.47242154401707676,-0.6216425697050297,-0.7482167463721467,-0.7072316769313991,-0.7200513318171627,-0.73768647338177,-0.73038687128233,-0.7441298520806332,-0.7125321631842332,-0.014409808442267105,-0.014443480775693407,-0.014752151473464495,-0.014434009305007028,-0.014684787758696326,-0.01680745658979987,-0.012654062079560251,-0.015996000199067755,-0.013060169167526656
0.03505557165522354,-1.0228085397288649,-1.0307457227545151,-1.014957398915319,-1.0107869948229362,-0.9863505845525907,-0.9647139015985519,-0.9666018051679479,-0.9956608598198954,-0.9470817302191048,-0.4699890901490828,-0.6213179403267931,-0.7464903188372964,-0.705485608488174,-0.7177075519082554,-0.7367905851346862,-0.728308139675997,-0.7437224436545559,-0.7106813125829167,-0.014377278785374,-0.014396250821488973,-0.014739659443281079,-0.01436651766531041,-0.014666580649448775,-0.016700351944732735,-0.012635136207610868,-0.015931450608626205,-0.012909486222379574
0.03519004586101811,-1.0227805718548002,-1.0307422443770733,-1.0149094819998752,-1.0107254769507772,-0.9863261266325254,-0.9645400846926474,-0.9663598879016183,-0.9954812029806248,-0.9469836750817108,-0.4691364495173317,-0.6189657921739403,-0.7455790356944784,-0.7039819297132499,-0.7176622045964858,-0.7348322288508808,-0.727837425473564,-0.7434522455966577,-0.709228511106479,-0.01432131846315169,-0.014388083346985542,-0.014661553422638852,-0.014351057414917937,-0.014660744633233568,-0.01665347591662898,-0.012557848876014192,-0.015918769081827055,-0.012715771054308583
0.03566503765868368,-1.022703727864175,-1.030660881760082,-1.0148590407868738,-1.0106748105918377,-0.9863247358505598,-0.9645035907511254,-0.9662833707195146,-0.9953366448416118,-0.9468606192599958,-0.46883428233247115,-0.6175875143376267,-0.7455362974823777,-0.7038417249626122,-0.7165414919888617,-0.7346840665553105,-0.7268246941236652,-0.7432339043274826,-0.7086427665898195,-0.014320402068951788,-0.014380861755010951,-0.014643106451795007,-0.014260999709112154,-0.014531205184225746,-0.016585527183655815,-0.012557026830425361,-0.015906339831334704,-0.012703343300298929
0.03573096422398651,-1.0225152890712428,-1.030657623225877,-1.014746448791336,-1.0106537025192444,-0.9863168558851589,-0.9644968072223975,-0.9661826214140192,-0.9952180883792197,-0.946789781990695,-0.4684077079414461,-0.617330488072441,-0.7451615325961283,-0.702065706485612,-0.7158913317876825,-0.7345367582659073,-0.7267307398665618,-0.7431793642682908,-0.7081433641960898,-0.014279585758608049,-0.014379627907810168,-0.014628331661428285,-0.014235043347130688,-0.01447992826455405,-0.01657125563297747,-0.012553929803916841,-0.01590159507867166,-0.01261514746434829
