term,T1,T2,T3
1,0.0013102486264640295,0.0004534147185592647,0.3315470662507947
2,0.00031556298215540033,0.001462072168553385,0.33330695096335333
3,0.0005859062107237448,0.0016538691189246103,0.3319724915310889
4,0.3321971914470002,0.0010736836939879218,0.00047585305740155333
5,0.3335263739836453,0.0006869295169802081,0.0004417746819013293
6,0.3294010448318707,0.001492438620288125,0.000659751289582547
7,0.0010454225056078627,0.33069519575765166,0.0004889658766679388
8,0.00025189276425689256,0.33306762508844595,0.000357209006154841
9,0.0013663566482756428,0.32941477131660896,0.0007499373430547975
