term,T1,T2,T3
1,0.00031890113453052736,0.3331931291922364,0.0007157529914721963
2,0.001232446610792765,0.3317737804680439,0.00013793793700311546
3,0.0006322188594381656,0.33178344649677716,0.00044072127335431177
4,0.0010148627295852868,0.0007921280034481051,0.33188473465184204
5,4.31405927923759e-5,0.0001086420811602492,0.332459434141035
6,0.0002024343485087326,0.001141171631301419,0.3327415692194152
7,0.3317994352735873,0.0007968372112682556,0.00013569780855648335
8,0.3329535550844265,0.0003212534937013314,0.0007994966706926516
9,0.33180300536633855,8.961142206321587e-5,0.0006846553066290203
