term,T1,T2,T3
1,0.33132093812749225,0.0015748173528317168,0.00040667566352859335
2,0.33166836487149787,0.0002075222000767085,0.00036820298033720316
3,0.3311570970836811,0.0001657549497206758,0.002047205364053428
4,0.0005935640407291326,0.001123811373128204,0.3302866863132036
5,0.0009154125883754875,0.0011014855117118388,0.3314184970594336
6,0.00036165301271209134,0.0008680106700998388,0.33346727812853094
7,0.001340897247579179,0.33273720777225463,0.0009622067941379469
8,0.0002457966356470224,0.3328256125532509,0.0007385908413432915
9,0.0023962763922854894,0.3293957776169257,0.0003046568554316375
