term,T1,T2,T3
1,0.00015319431206369877,0.330777596316739,0.0014840615316744081
2,0.0012217056704990677,0.33272214537959677,0.0002395602106294523
3,0.0005686542450150395,0.3324752700371233,0.0002659713418653927
4,0.0003287822910269119,0.00040494607451708163,0.33323595515332793
5,0.00037907144417806084,0.0011588341324948296,0.3333413700807202
6,0.002119306755444813,0.0004075353164002232,0.32925744885142644
7,0.33089675498758936,0.0005438321484510822,0.0014593544335688507
8,0.3337822869304436,0.00029381074147154446,0.0002791267390698514
9,0.33055024336373945,0.001216029853206117,0.0004371516577175601
