term,T1,T2,T3
1,0.0003123768553031744,0.00033957271593733926,0.3335426126300311
2,0.0007352688138526218,0.0012728091659247186,0.330827461422333
3,0.00038992244734812633,0.0007181290297647974,0.3317657759061674
4,0.33188991536826357,0.000937674257106865,0.0003761789240504526
5,0.33174075212108173,0.0014839680817713308,0.0007163516495768306
6,0.3329444422860797,0.0007296143141132093,0.0008273044517562987
7,0.00043311142976857855,0.3322221783541121,0.00047379313037850446
8,0.0010428637883320745,0.33061067769633146,0.00048229725226654155
9,0.0005113468899703189,0.3316853763849382,0.0009882246334399706
