run,mse,correct,pplxy,converged
1,0.22666921732462658,0.6277693353595137,0.14923332305047132,true
2,0.2265668210982705,0.6277693353595137,0.14926988950627965,true
3,0.22669806933944156,0.6273694313364793,0.14916146850391634,true
4,0.2265838891805154,0.6274494121410862,0.14923807995396593,true
5,0.22659561630067182,0.6272094697272654,0.14917778446862623,true
6,0.22663425867516407,0.6266496040950172,0.14919547907428884,true
7,0.2266192123431635,0.6276893545549068,0.14921214389880375,true
8,0.2266336683831918,0.6276893545549068,0.1491470907055133,true
9,0.22662593137055748,0.6278493161641207,0.1491360860422305,true
10,0.22664533194519182,0.6269695273134448,0.14918062651675645,true
