,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k05,-0.605781555,-0.58079672,-0.561858766,1.189759925,1.2144198,1.232891017
k10,-0.65687589,-0.63912225,-0.627927288,1.146730365,1.15728135,1.17175659
k20,-0.668013093,-0.65221992,-0.637177425,1.129729648,1.144232,1.155766125
k30,-0.687128721,-0.6575816,-0.648001708,1.11799032,1.1311559,1.14304214
k50,-0.685176916,-0.673907225,-0.660001983,1.101585258,1.114995,1.130770203
