,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k05,-1.019368985,-1.0012424,-0.97860959,1.18267969,1.2132902,1.23402837
k10,-1.014665758,-0.998376905,-0.98879161,1.146295755,1.16477735,1.180562273
k20,-1.011291118,-0.99773225,-0.987170795,1.132801837,1.15081715,1.164010265
k30,-1.01078246,-1.0006465,-0.98913905,1.12355697,1.1381452,1.145918935
k50,-1.01259931,-1.0004795,-0.985822375,1.110648865,1.1231024,1.13709753
