,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k05,-0.358862553,-0.327088785,-0.30188696,0.947975206,1.097333,1.194264443
k10,-0.382318912,-0.3546799,-0.322187437,1.124281028,1.14397775,1.160959883
k20,-0.402982277,-0.38111895,-0.360093382,0.998002426,1.122079,1.145891218
k30,-0.434659218,-0.40791515,-0.381187382,0.967720853,1.0950311,1.13137087
k50,-0.463344546,-0.42768365,-0.406726521,0.927138928,1.0459397,1.130421483
