,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k05,-0.285674568,-0.262558225,-0.23825529,1.174955208,1.19038745,1.20776543
k10,-0.366331515,-0.352896255,-0.326628048,1.13372169,1.1451067,1.158741638
k20,-0.38901567,-0.378589165,-0.364462313,1.118668565,1.13177565,1.145555988
k30,-0.40726604,-0.39118077,-0.379378813,1.114563488,1.11861215,1.133966413
k50,-0.42877202,-0.41513924,-0.393511267,1.090548063,1.10972325,1.117041915
