,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k05,-0.670153344,-0.63089794,-0.610983987,0.943423514,1.14055335,1.205596847
k10,-0.669577674,-0.64657295,-0.622555438,1.02355081,1.1583558,1.196028538
k20,-0.691029554,-0.65977235,-0.644760867,1.050610467,1.1347587,1.157950613
k30,-0.700094737,-0.681005955,-0.665397441,1.010276473,1.07536605,1.1290779
k50,-0.71363365,-0.69454086,-0.673720358,0.920598057,1.04783525,1.132788118
