,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k05,-1.031273295,-1.00662315,-0.959698132,0.964653368,1.1536126,1.237576387
k10,-1.01930589,-1.0079891,-0.9901442,1.026817922,1.15679295,1.189834853
k20,-1.025280598,-1.00431495,-0.980695328,0.965354467,1.12461375,1.17134403
k30,-1.00662984,-0.99426397,-0.979716029,1.031266298,1.13076785,1.155399007
k50,-1.026472853,-1.00434205,-0.972842103,0.91988524,1.0254736,1.153654817
