run,mse,pplxy
1,0.055565868151216544,0.14924380996875297
2,0.05556668927870641,0.14915750375694892
3,0.055581530978918416,0.1492560600685143
4,0.05556620921855301,0.1492307795028277
5,0.055554514107398846,0.1492271367311444
6,0.05557173572649676,0.14918394983463906
7,0.05557228637869436,0.1491534292932449
8,0.05559103102852924,0.1491751697019564
9,0.055607017085088875,0.14920810761304126
10,0.055575351056397715,0.14922099708428999
