NoText_reg,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50,BTR_CVEM_K5,BTR_CVEM_K10,BTR_CVEM_K20,BTR_CVEM_K30,BTR_CVEM_K50,LDA_K5,LDA_K10,LDA_K20,LDA_K30,LDA_K50,sLDA_K5,sLDA_K10,sLDA_K20,sLDA_K30,sLDA_K50
-1.0151004859928772,-1.0097843935823054,-1.0065545491803722,-0.994790030922702,-0.9969719911308355,-0.9982702297946331,-1.027073435280273,-1.0211032154601953,-1.0167804289793332,-1.0177184575084295,-1.0051892205902626,-1.016296002955068,-1.0167167420427512,-1.0161013689725118,-1.0178488082900632,-1.0165160436349252,-1.0320709232521106,-1.0307609062709675,-1.042909302886246,-1.0009120455176872,-1.0207271462397762
-1.01505840111395,-1.0097706696031632,-1.0064442643995974,-0.9947859543506362,-0.996967471292105,-0.9982419873150603,-1.0266365451680193,-1.0207634297312544,-1.0167747544247874,-1.0176566974752626,-1.0050071525225552,-1.0162808850080087,-1.016465143031484,-1.0160896911621526,-1.01773486507398,-1.0164438817654287,-1.0313388467303535,-1.0305178641467538,-1.0427077288105395,-1.0007127748966687,-1.0196608062414132
-1.0144876295554688,-1.0097077976728046,-1.006414255450082,-0.9947813134521076,-0.9969652403598029,-0.9981650821027918,-1.026541989890819,-1.0201447964980046,-1.0167273881467414,-1.01721757405564,-1.0048719180285006,-1.01581928811226,-1.016401221406916,-1.0159620369870963,-1.0176706658446555,-1.0164039173652464,-1.0311066066069439,-1.0295332882236734,-1.0415739271895141,-1.0002316653068857,-1.0190476214896391
-1.014428486440398,-1.009684942788761,-1.0063214082185663,-0.9947707543484353,-0.9969614613912718,-0.9981578074740642,-1.0264194474144042,-1.0199539830095892,-1.0166858659444618,-1.017138552396075,-1.004839648913439,-1.0157806095142508,-1.0163733843674319,-1.0156017356778924,-1.0176225970809916,-1.016391179032474,-1.0305693577572692,-1.029447597965011,-1.041489940474727,-0.999272012116577,-1.018581864062464
-1.014304499769886,-1.0096469784650453,-1.0062807401376068,-0.9947646348466721,-0.9969560555571271,-0.9981530181291227,-1.0263369032767884,-1.0197064623653467,-1.0165030564533872,-1.0169687216147905,-1.0048173420617212,-1.0155352090609058,-1.0161974736148367,-1.015219702982899,-1.017415162415937,-1.0163753519815946,-1.0301621981929643,-1.0291522993910887,-1.0409676602382436,-0.9982098832114918,-1.0177920353707683
-1.0138613303022355,-1.009609923720773,-1.006189774459586,-0.9947577855148887,-0.9969408247860483,-0.9981332671934373,-1.0260013095724412,-1.0196977420009754,-1.0163312085806393,-1.0168882246958226,-1.0048171636075107,-1.0151118827072196,-1.0161810096185226,-1.015154438530963,-1.0173801139339413,-1.0163527935424421,-1.0300775877693076,-1.0284170329757716,-1.0408066433204395,-0.9979374468843911,-1.0176199366974032
-1.0138358017048636,-1.0095833580544955,-1.0061312728703584,-0.994748842729851,-0.9969385237210093,-0.9981304950286977,-1.0257852713561293,-1.0194535794668504,-1.0163308753389513,-1.016674977730714,-1.0046004775938473,-1.0148721823351554,-1.016073824773649,-1.0151331661766643,-1.0172226174127974,-1.0162686307719593,-1.0298986634015297,-1.0280217506649272,-1.0403170144192782,-0.9979354840256711,-1.0174161532236392
-1.0137835421888284,-1.0095334891877303,-1.0061251555842543,-0.9947449261841362,-0.9969315712397113,-0.9981267306243029,-1.0256442792172553,-1.019362785094611,-1.016171454735654,-1.0165993112833838,-1.0045271666040938,-1.014867591822622,-1.0160531987106023,-1.01509595905659,-1.0169865698705838,-1.0162093052506334,-1.029595585252873,-1.0279235818601318,-1.0398991205951307,-0.9977555247033261,-1.0174005197808489
-1.0136802959325966,-1.009483060545833,-1.0060890322224287,-0.9947415146896854,-0.9969311909700245,-0.9981247956384346,-1.0256302696291455,-1.0193460761342514,-1.0161485904763172,-1.0165315203456355,-1.0043364093238014,-1.0148219054424337,-1.0160280073223602,-1.015053218959287,-1.0165145722863544,-1.0159775611218487,-1.0292574286974472,-1.0273660595389187,-1.039847135984166,-0.997296019690133,-1.0173688778225225
-1.0135570047014546,-1.0094467999165744,-1.005764030471138,-0.9947407825582887,-0.9969249500970093,-0.9981174846860672,-1.0256147147462804,-1.0190087256047682,-1.016103074623222,-1.0164532053417599,-1.0042844563540663,-1.014524380686199,-1.0159319241156555,-1.014684531677833,-1.0161801950252127,-1.0159220932283826,-1.0291310800935054,-1.0272525973540307,-1.0396753550848998,-0.997207524252603,-1.0168005686799741
-1.013512949016535,-1.0094343258350165,-1.0057606305289066,-0.9947312669235023,-0.9969203963261127,-0.9980997778972867,-1.0254632514912323,-1.0188997756782305,-1.0159365634259565,-1.0164120472759615,-1.0042436778984454,-1.014034788754127,-1.0158488738126423,-1.0146508006796215,-1.0161157543349941,-1.0158888049367003,-1.0288847111047796,-1.0271462506417617,-1.0394979115635115,-0.9968490186761882,-1.016550403464306
-1.0134174025396856,-1.0094095001354368,-1.0057277731684455,-0.9947271659228516,-0.9969184466822655,-0.9980962148825813,-1.025375560293842,-1.0186959436434577,-1.0158182162143152,-1.0162650984218873,-1.004181067617645,-1.0140320244028842,-1.0157729112842986,-1.0146498219990612,-1.016055538214637,-1.0158587651193378,-1.0287868744441244,-1.0271341262922629,-1.0392096004554563,-0.99678891784721,-1.0164334846240677
-1.013348720781643,-1.0093533997649573,-1.0056964152625694,-0.9947227619936124,-0.9969111977301309,-0.9980809319540963,-1.0253350757312214,-1.0186572119786164,-1.0158103151291664,-1.016095132960126,-1.0041540556397501,-1.0140058868440174,-1.0157316014480926,-1.0145473599515393,-1.0160421337298848,-1.015683264568915,-1.0287835631217848,-1.0261704510757943,-1.0388475575645346,-0.9966870963932313,-1.016235428421936
-1.0131200579156021,-1.0091515445421848,-1.00567878746789,-0.9947093526005848,-0.9968968237196238,-0.9980714657764211,-1.0252443269989584,-1.0183149030828313,-1.0158042648744194,-1.0158649134295106,-1.004078373398122,-1.0137037042693593,-1.015704053449082,-1.014421466815285,-1.0160154096695513,-1.015515637936492,-1.0287616944987046,-1.0260327946566075,-1.0388072638216832,-0.9966111151473437,-1.0159042267814289
-1.013058534514882,-1.0091487441980946,-1.0056497341354647,-0.9947035087835008,-0.9968928823510967,-0.9980694735880532,-1.0252183635507308,-1.0182482459893532,-1.0156950447296569,-1.0158342427506308,-1.0039366821428959,-1.0136266535738838,-1.0156639189160588,-1.0144134559652223,-1.015993044930126,-1.015362932030055,-1.0287273678431188,-1.025828321073036,-1.0386487441936796,-0.9965531206034759,-1.0154031526043676
