NoText_reg,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50,BTR_CVEM_K5,BTR_CVEM_K10,BTR_CVEM_K20,BTR_CVEM_K30,BTR_CVEM_K50,LDA_K5,LDA_K10,LDA_K20,LDA_K30,LDA_K50,sLDA_K5,sLDA_K10,sLDA_K20,sLDA_K30,sLDA_K50
-0.5766287920937121,-0.6356680275677001,-0.9038560574696416,-0.9013213750387408,-0.8872810404501354,-0.8921012238082804,-0.6746868003849578,-0.7667222700263152,-0.7885373530180307,-0.8576558796986707,-0.851259705122485,-0.607145133814839,-0.6454346666761736,-0.672064167406707,-0.6907038138886287,-0.7128911106330253,-0.7232070722474946,-0.7209491582640587,-0.744228914057016,-0.7177282711532128,-0.7413578185430096
-0.5760180084017521,-0.6335337540180624,-0.9033208760129394,-0.9012582137467813,-0.8870827916560661,-0.891724266109814,-0.6745302235133299,-0.7667219359094402,-0.7877953479960581,-0.8569923200132168,-0.8469267473157482,-0.605187992869304,-0.6439240711252963,-0.6707302665592726,-0.6897334798401352,-0.7121589108951841,-0.7088477420594465,-0.7200301353490007,-0.7407383167043098,-0.7121090410596786,-0.7307695376776957
-0.5759597667140164,-0.631019376044825,-0.9032244881021703,-0.9011678821935465,-0.8870438649762395,-0.8916978385396943,-0.6733251739494251,-0.7641094235608125,-0.7855496666065727,-0.8567238384862135,-0.8461787476065585,-0.6048508538905392,-0.64367317836978,-0.669525248719489,-0.688874081512286,-0.7112980940175583,-0.7075276369827112,-0.714089230805731,-0.7371984155144478,-0.7096496357850985,-0.7270872954227057
-0.575332500049707,-0.6303664789892817,-0.9031083097949306,-0.9011096272163317,-0.8868211139892681,-0.8916651041521104,-0.6727604339857538,-0.763005233536914,-0.7851399919065593,-0.8546808354787268,-0.846168451087838,-0.6045136148857875,-0.6435020573043516,-0.6692842067786244,-0.6886709966004213,-0.709411317925135,-0.7072859334843773,-0.7120351233578102,-0.7338764454336677,-0.7087822361674777,-0.725597450967784
-0.5752850689833495,-0.6301170970616959,-0.9031078769888605,-0.9009343681902674,-0.8868085430405552,-0.8916364579821897,-0.6726503819545704,-0.760230392649327,-0.7837026340705451,-0.8540305192106132,-0.8461228230516971,-0.604419009156733,-0.6430745756362333,-0.6690876521793734,-0.6872313193292552,-0.7091594502569701,-0.703167915072734,-0.7100687224848599,-0.7336210104272165,-0.7047920812854895,-0.7255632757991812
-0.5752822929688843,-0.6294504964321656,-0.9030925837345383,-0.9009279118789886,-0.8867466021888725,-0.891587008688761,-0.6720053593957172,-0.7596757895968874,-0.7814754520173872,-0.8534400056350304,-0.8455353123530395,-0.6042580854204962,-0.6421536341288404,-0.6684816282426661,-0.6868840854319515,-0.7091270260744245,-0.7029915351725666,-0.709252337008051,-0.7327224317665925,-0.703711972017838,-0.7234309230354581
-0.574409130067652,-0.6294432291546241,-0.9030901771244745,-0.9008705060261161,-0.8866824151983665,-0.8915463274410435,-0.6717337823924724,-0.7590253163134433,-0.7806857904771787,-0.8531743409263383,-0.8449163416063944,-0.6040320839485399,-0.6415817666510124,-0.6680048774005787,-0.6868317317374185,-0.7088177992108856,-0.7027919476308057,-0.7089219892067646,-0.7322335716585284,-0.7035475825364522,-0.7222935593120264
-0.5742606042064528,-0.6289476905496828,-0.9030748910765596,-0.9008454347212566,-0.886679019693145,-0.8915123090677958,-0.6713611011847687,-0.7574188660453873,-0.7802809040557116,-0.8531081062840107,-0.8444526868743929,-0.6038973969682234,-0.6410259959461775,-0.6679473037128492,-0.6867274976305032,-0.7082976732979004,-0.7005131838194228,-0.7088585016043564,-0.7315898713854642,-0.7025161232700335,-0.7218725049934233
-0.5736864436210889,-0.6287696792836278,-0.9030601955795546,-0.9008343500583436,-0.8866494322556008,-0.8915109049017094,-0.6710010170656184,-0.7566391450207333,-0.7801758765317715,-0.8524701701155504,-0.8443137188610694,-0.603862296606457,-0.6407279193599169,-0.6679070962257754,-0.6865361335412138,-0.7082870289594307,-0.699970678704864,-0.708743916502692,-0.7311203853619593,-0.7019973192095089,-0.721717424987784
-0.5734425941497658,-0.6285719569831085,-0.9030442376637645,-0.9007714716982115,-0.8866181101633381,-0.8914948696931138,-0.6706823922259375,-0.7566352511448141,-0.7798106676372883,-0.8523899904352135,-0.8441911933316784,-0.6037753805793095,-0.64071350716454,-0.6676695297842016,-0.6861942367424345,-0.7081232085149459,-0.6984178811207901,-0.7086232456941359,-0.729677403137514,-0.7010921203083827,-0.7215007345970929
-0.5730122077046436,-0.628491805376849,-0.9029489309464036,-0.9007267505610275,-0.8865810283150269,-0.8914912656437521,-0.6698921721033694,-0.7565979722403722,-0.7795195056113214,-0.8519950129365214,-0.8439325371067301,-0.6034239147857872,-0.6407093230334665,-0.6673727429907611,-0.6861785909324146,-0.7078615743812874,-0.6983549867314743,-0.7085874825033626,-0.7287414768796352,-0.7006220868345752,-0.7204457837789203
-0.57249480693611,-0.6282883366139408,-0.9029451078639967,-0.9007152381662855,-0.8865557775279839,-0.8914385955288637,-0.6697351451925192,-0.7564896024652966,-0.7795148506492267,-0.8519884508111846,-0.8433767878854725,-0.6032521145929578,-0.6404124031741028,-0.6668825992527257,-0.6861669401158793,-0.7077162324729056,-0.6981761663235146,-0.7085475457543761,-0.7268991286209591,-0.7001228796319849,-0.7203563202438237
-0.5724591495401276,-0.6279523310751498,-0.9029184233382817,-0.9007140500395437,-0.8865548906588736,-0.8913769254128753,-0.6695721114311481,-0.7564885999876408,-0.7788852822311374,-0.8519499698838349,-0.84292005977206,-0.6031226337741812,-0.6398219029573536,-0.6668027613109189,-0.6859800930022915,-0.7074227549957333,-0.6981224669631574,-0.7082624489323766,-0.7264814312599382,-0.7000118004747484,-0.7203490880659065
-0.5722502455159878,-0.6275923283378768,-0.9028714092432326,-0.9007087710217399,-0.8865520038038444,-0.8913750611662291,-0.6695517022072864,-0.7560722282352899,-0.7787593469325585,-0.8519334080418633,-0.8423870979456795,-0.6021295349477334,-0.6397331331285409,-0.666177919214564,-0.6855110910702991,-0.7071225428186115,-0.6976794976330585,-0.7081255954516904,-0.7258829089673823,-0.699150349822504,-0.719513026626949
-0.5718467107697482,-0.6273997123303232,-0.9028688381789179,-0.9007008175513239,-0.8865462503346181,-0.8913506150701556,-0.6688053320480667,-0.7557655861783155,-0.7779499195550693,-0.8518915161015673,-0.8423673593839274,-0.6020080777407831,-0.6395669696772714,-0.666088950506113,-0.6846630568571379,-0.707036515802389,-0.6976002334951915,-0.7081225451535847,-0.7256734424413038,-0.6978574277000418,-0.7194576637264255
-0.5716787797154879,-0.627274730082841,-0.902830241838231,-0.9006952521860425,-0.8865143407168974,-0.8913297875691346,-0.6687259907399913,-0.7557076608750166,-0.7778110996419947,-0.8517162512927,-0.8422615814092682,-0.6019223454652016,-0.6395363836501222,-0.6659791576869145,-0.6845448880029811,-0.7069581970260163,-0.6972023461151743,-0.7078257719844314,-0.7250930369786088,-0.6976367855410275,-0.7193681648611778
-0.5716119207726486,-0.6271475761311435,-0.9028283118411445,-0.9006936528990734,-0.8864925040105445,-0.8913152528337256,-0.6680333306428228,-0.75558565909348,-0.7775728928261882,-0.8515039718230515,-0.8418503596219131,-0.6015592330829778,-0.6394761899233571,-0.6657428914697546,-0.684519561237649,-0.7069322122986608,-0.6971576627268292,-0.7070642692067423,-0.7247827773499107,-0.697534498362941,-0.71889387658257
