run,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50
1,-0.605622736,-0.900606012,-0.892782971,-0.884477397,-0.886091684
2,-0.618698524,-0.834263702,-0.905780808,-0.894810346,-0.882377166
3,-0.605041383,-0.891994863,-0.900054261,-0.893522087,-0.89457617
4,-0.616058292,-0.899122593,-0.900496653,-0.885432305,-0.879206508
5,-0.612557228,-0.899688636,-0.894856136,-0.888378682,-0.891386033
6,-0.615879796,-0.733308216,-0.895966085,-0.890273538,-0.881124838
7,-0.607452209,-0.880201244,-0.907353352,-0.886177145,-0.888927346
8,-0.606208282,-0.895046836,-0.893290411,-0.891867019,-0.88672629
9,-0.605056945,-0.871143749,-0.896515028,-0.898506744,-0.889870889
10,-0.637139003,-0.894810204,-0.89748877,-0.887169309,-0.894862679
11,-0.632641476,-0.900794556,-0.905309388,-0.892279179,-0.876838308
12,-0.620646046,-0.899402704,-0.887430131,-0.880585193,-0.887979911
13,-0.624951742,-0.898383178,-0.893695356,-0.885473412,-0.87899425
14,-0.638115987,-0.8781275,-0.895632332,-0.884056628,-0.887662762
15,-0.630810601,-0.898910923,-0.895813491,-0.889208073,-0.894758283
