run,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50
1,-0.3301467475726858,-0.7694417377894498,-0.8095652193447612,-0.8009650013821888,-0.7956317900055343
2,-0.3272297150068614,-0.8162159420896671,-0.8165220429730627,-0.7718026907295149,-0.8134417940711277
3,-0.35527848700844,-0.7640556456537795,-0.7807283278696815,-0.8107110686507066,-0.8137391236813337
4,-0.3252773338018472,-0.806097524090668,-0.8170859352620563,-0.8144691815522781,-0.8084526739044504
5,-0.32317296263505135,-0.8292963348311725,-0.8160722286928888,-0.7954411661292071,-0.786461530301644
6,-0.3406237496225225,-0.7519278698439962,-0.8202043848098166,-0.8211238641907466,-0.7987786643399883
7,-0.3668753893445885,-0.8026912271645976,-0.824797675412534,-0.8131010134479889,-0.7980960414538658
8,-0.342215928143908,-0.8189330969395794,-0.7999315175731769,-0.806294023778017,-0.8003696015622491
9,-0.2837038781588237,-0.8175476536211627,-0.8391750190381202,-0.8155380499754756,-0.8017179667125578
10,-0.3566662563486754,-0.8075470360856116,-0.8073859598604749,-0.818760494260542,-0.7877311852021918
11,-0.3269931255902283,-0.7913271481172915,-0.8147772680139702,-0.8311978841338606,-0.8105577888633015
12,-0.3263653461260632,-0.5819691901735609,-0.8258443145637275,-0.8098883377418237,-0.7949637660091
13,-0.3245683701031722,-0.7866847096885278,-0.808638998448262,-0.8138960466219296,-0.799747085448214
14,-0.32419053324212865,-0.7482444983838472,-0.8152706103237986,-0.8010822173381043,-0.8179486576660692
15,-0.32879646492665243,-0.8181345669949154,-0.8158679560148696,-0.8077159582661563,-0.8048715117300229
16,-0.34581602462359806,-0.7662321034528943,-0.8013222091283418,-0.7913250579950805,-0.7924238211448573
17,-0.3381239538457038,-0.7636820618437525,-0.7997208288303015,-0.8126026209250381,-0.8072013426607918
18,-0.3490453406992528,-0.813021510178235,-0.82734493329005,-0.8177441554379803,-0.8021295669647135
19,-0.3070359409709032,-0.7991564533587425,-0.8051337916897591,-0.8001650412057705,-0.7943913597331276
20,-0.3556142649127041,-0.8353610994851002,-0.8194278513350886,-0.8037679678472018,-0.8006283327994377
