NoText_reg,BTR_noCVEM_K2,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K15,BTR_noCVEM_K20,BTR_noCVEM_K25,BTR_noCVEM_K30,BTR_noCVEM_K40,BTR_noCVEM_K50
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08828657356622882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08679817403498516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
