term,T1,T2,T3
1,0.0006731053370836056,0.0015755973917859294,0.3314312904253694
2,0.0006172547064454348,0.0002700362433121528,0.33173558046050583
3,0.0012959945935695,0.00047160101118897085,0.33196485118351415
4,0.3311329653337204,0.0006401386389217889,0.00013498492602775092
5,0.33118092394176935,0.00043331304971748214,0.0017048893262360222
6,0.3334911944813026,0.00046533122262365446,0.0006289363528121667
7,0.0011000058705608394,0.33269889413039466,0.0009785886830162524
8,0.00030021500134117993,0.3329685541872979,0.00026683996292816976
9,0.0002083407342071943,0.33047653412475764,0.0011540386795904731
