term,T1,T2,T3
1,0.0006058402509555165,0.0001809326881666778,0.3320760192729525
2,0.0012977724794789405,0.0007527747633654836,0.32979011465010055
3,0.001612983478128564,0.0015400464202712735,0.32979713395742294
4,0.33053982363250256,0.000481133220156273,0.0009241476082908037
5,0.330311012394654,0.0009143676776315277,0.00212684460487393
6,0.3329255451824701,0.0002508988033154431,0.0014422849821905837
7,0.0008963174732738399,0.33232666728905275,0.0022973301472877924
8,0.0005371408470901871,0.3330138897136395,0.0007466801136782966
9,0.001273564261446396,0.3305392894244008,0.0007994446632024808
