,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k20,-1.008994575,-0.99549575,-0.988809996,1.133147838,1.1542754,1.161371863
k50,-1.000707425,-0.99520197,-0.987534869,1.110589788,1.11879775,1.134897075
k30,-1.003911037,-0.9962671,-0.987567675,1.122183438,1.1357344,1.145834562
k10,-1.0050524,-0.99243265,-0.99038995,1.16019008,1.1681465,1.185151565
k05,-1.004375612,-1.00113817,-0.994612965,1.205962375,1.22240265,1.227678475
