,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k20,-0.66807693,-0.65237814,-0.64049264,1.130873725,1.14318,1.15676805
k50,-0.68098574,-0.6727437,-0.659856475,1.100648275,1.1174891,1.132867675
k30,-0.673127675,-0.658178,-0.65231316,1.1176053,1.1305172,1.14125785
k10,-0.644436225,-0.63770694,-0.626534425,1.150778925,1.1592605,1.1737122
k05,-0.597885098,-0.583476755,-0.560463896,1.189005725,1.2106847,1.233234757
