,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k20,-1.012539375,-1.00431495,-0.784706122,1.000170345,1.12405875,1.173004645
k50,-1.0254198,-1.0060731,-0.98163022,0.95641852,1.0238442,1.11049022
k30,-1.00662984,-0.99426397,-0.979716029,1.031266298,1.13076785,1.155399007
k10,-1.020605485,-1.0071202,-0.993694654,0.96204993,1.14790165,1.167546743
k05,-1.027994835,-1.00676665,-0.944707505,1.012696305,1.1628063,1.23117225
