,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k20,-0.396366404,-0.3811892,-0.37060138,0.988720439,1.0958656,1.14031229
k50,-0.44207459,-0.42510608,-0.39422802,0.771134387,1.0505748,1.1113158
k30,-0.419335525,-0.4087461,-0.380275203,1.03199105,1.1022121,1.1281701
k10,-0.378418851,-0.351884645,-0.313192207,1.094519658,1.14417455,1.15714158
k05,-0.385727645,-0.3285844,-0.306101547,0.81687543,1.1193324,1.1819976
