,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k20,-0.388009109,-0.378721985,-0.365370019,1.120912642,1.1265966,1.14102321
k50,-0.42453532,-0.41551524,-0.40120826,1.09239352,1.1073076,1.11260448
k30,-0.404855198,-0.390853775,-0.383318119,1.113867937,1.11795785,1.12649076
k10,-0.366539308,-0.35306495,-0.338437768,1.13450846,1.1449658,1.15427304
k05,-0.27761304,-0.26568662,-0.256043944,1.1761839,1.19057225,1.203697345
