,w1_lower,w1_median,w1_upper,w2_lower,w2_median,w2_upper
k20,-0.69058553,-0.6619281,-0.604719313,0.929550923,1.121354,1.152599275
k50,-0.706852925,-0.691128,-0.58882245,0.920593753,1.020025,1.141048475
k30,-0.699837338,-0.681005955,-0.661765053,1.02838989,1.07536605,1.11768143
k10,-0.660552963,-0.6435644,-0.618511312,1.129966093,1.1611091,1.198751413
k05,-0.660027773,-0.6286434,-0.609780887,0.96606823,1.1246903,1.203486875
