term,T1,T2,T3
1,0.00038190715147019903,0.3333904644349217,0.00035274584605229844
2,0.0009139550443706518,0.3306475425551569,0.0012041907834932975
3,0.00044550217078105175,0.33181664815962736,0.0005431028482114763
4,0.33187089573315964,0.00035898358827576404,0.0009209177704278234
5,0.331544256666368,0.0006996103815125821,0.0016476601091901767
6,0.3330003784343551,0.0007148974783472191,0.0007336585345891879
7,0.00036157058522429656,0.0005080565987715394,0.3323801763416142
8,0.0009077952400107167,0.0005711966433393643,0.33077890526564024
9,0.0005737389742603828,0.0012926001600476248,0.3314386425007812
