term,T1,T2,T3
1,0.00031878048034309387,0.0012136921782465882,0.33126956625380866
2,0.00021168296062706022,0.0005467924050990369,0.3309887828776061
3,0.001321972363961767,0.0008303081880658605,0.33071325240963934
4,0.33108277202973535,0.0003047426975393055,0.0005527009632180446
5,0.33032059919700313,0.0015703878941146253,0.0014564611879137798
6,0.3329210270130256,0.00040344826400984154,0.001282316184762356
7,0.002234075103896605,0.33206565785511327,0.001329169937080025
8,0.0005710458091545688,0.33338167035857463,0.0004326835881734501
9,0.001018045042252693,0.3296833001592368,0.0019750665977985287
