term,T1,T2,T3
1,0.3335326152751832,0.0003138200352772633,0.0003108981077846145
2,0.33101573712814597,0.0009944701717049724,0.0007880589838217831
3,0.3318403087258414,0.0005057374823088084,0.0004895281322781576
4,0.00036246350403829167,0.0008861809627177242,0.3316947119186407
5,0.00047962341612543764,0.001366314508590414,0.3318325574101683
6,0.000683214239674208,0.0007329533891039143,0.3328234691994757
7,0.0004908333460207034,0.3325556680183972,0.00038313074618365515
8,0.0005461341893240611,0.3309389091865074,0.000951102476169803
9,0.0010490701756468255,0.3317059462453923,0.0007265430254771299
