term,T1,T2,T3
1,0.000339098175422187,0.33285615441748234,0.0004218583292138083
2,0.00037934596963639945,0.33344274382167977,3.7414933132940795e-5
3,0.0008375345428041246,0.33103485297390545,0.0003725194248627894
4,0.0011066454790310363,0.00016979942486192374,0.33124726665002885
5,0.0006008391688145007,0.0007078835848369449,0.33321057574760127
6,0.0009163599965189494,0.00019439899154939227,0.3321252419182651
7,0.330870383428023,0.0005659869347107468,0.0009122737206919431
8,0.3332668808902041,0.0007371407531737639,0.0002806611690274625
9,0.331682912349546,0.0002910390977996531,0.0013921881071759722
